순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율
"52","2023-12-07","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","1.92","1,114.69","4.54","1,114.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,114,690,905,932","0.00","49.87","0.00","1,114.690905932","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"53","2023-12-07","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","2.39","1,118.21","4.82","1,118.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,207,538,175","0.00","43.65","0.00","1,118.207538175","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"54","2023-12-07","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","2.83","1,121.44","5.08","1,121.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,121,440,525,170","0.00","38.06","0.00","1,121.44052517","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"55","2023-12-07","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","3.26","1,124.62","5.31","1,124.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,124,620,813,720","0.00","32.84","0.00","1,124.62081372","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"56","2023-12-07","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","3.62","1,127.33","5.50","1,127.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,127,327,824,355","0.00","28.59","0.00","1,127.3278243549998","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"57","2023-12-07","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","3.88","1,129.43","5.64","1,129.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,129,425,600,478","0.00","25.40","0.00","1,129.425600478","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"58","2023-12-07","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","0.61","1,101.99","3.65","1,101.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,101,988,511,225","0.00","68.03","0.06","1,101.988511225","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"59","2023-12-07","3MP01","한국투자MYSUPER알아서 안정형MP","주식형","-1.23","1,057.50","4.25","1,060.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,057,501,844,289","0.98","68.19","0.26","1,057.501844289","2,624,265,723","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"60","2023-12-07","3MP02","한국투자MYSUPER알아서 성장형MP","주식형","4.32","1,090.28","4.41","1,090.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,090,281,295,770","3.76","19.59","0.16","1,090.28129577","1,573,837,309","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"61","2023-12-08","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","-2.30","1,108.19","-4.20","1,106.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,108,194,753,303","0.00","57.28","0.00","1,108.194753303","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"62","2023-12-08","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","-2.88","1,111.81","-4.63","1,109.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,111,808,561,522","0.00","49.96","0.00","1,111.808561522","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"63","2023-12-08","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","-3.39","1,114.82","-4.99","1,113.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,114,820,514,732","0.00","43.72","0.00","1,114.820514732","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"64","2023-12-08","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","-3.84","1,117.60","-5.31","1,115.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,117,597,449,475","0.00","38.13","0.00","1,117.5974494749998","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"65","2023-12-08","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","-4.27","1,120.35","-5.60","1,118.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,120,348,284,066","0.00","32.90","0.00","1,120.348284066","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"66","2023-12-08","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","-4.63","1,122.70","-5.83","1,121.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,122,703,461,223","0.00","28.64","0.00","1,122.703461223","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
