순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
51,2022-10-09,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.44,0.05,"1,000.92",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,328,470",0,11.87,34.33,999.4428233,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
52,2022-10-09,07J91,한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.64,0.05,"1,001.04",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,921,201",0,10.21,33.77,999.6404003,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
53,2022-10-09,07J96,한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.6,0.05,"1,001.03",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,798,636",0,8.86,35,999.5995453,"2,749,073,339",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
54,2022-10-09,07M02,한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)(모),재간접,0.03,999.46,0.03,"1,000.54",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,383,472",0,31.63,27.91,999.4611573,"1,557,955,897",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
55,2022-10-10,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,0.05,996.45,0.04,996.7,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,690,409,921",0,0,0.6,996.4481189,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
56,2022-10-10,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,0.02,997.92,0.02,998.59,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,694,384,034",0,0,0.6,997.9200126,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
57,2022-10-10,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.44,0.04,"1,000.70",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,314,633",0,24.35,32.33,999.438211,"2,035,218,593",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
58,2022-10-10,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.59,0.03,"1,000.82",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,773,203",0,20.81,30.7,999.5910677,"1,973,423,336",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
59,2022-10-10,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.51,0.04,"1,000.85",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,540,570",0,17.32,32.05,999.5135233,"2,175,525,518",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
60,2022-10-10,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.52,0.04,"1,000.95",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,548,839",0,14.38,33.19,999.5162797,"2,366,708,125",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
61,2022-10-10,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.49,0.05,"1,000.97",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,473,126",0,11.87,34.33,999.491042,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
62,2022-10-10,07J91,한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.69,0.05,"1,001.09",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,999,065,834",0,10.21,33.77,999.6886113,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
63,2022-10-10,07J96,한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.65,0.05,"1,001.08",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,954,094",0,8.86,35,999.6513647,"2,749,073,339",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
64,2022-10-10,07M02,한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)(모),재간접,0.03,999.49,0.03,"1,000.57",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,471,600",0,31.63,27.91,999.4905333,"1,557,955,897",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
65,2022-10-11,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,-11.76,984.69,-11.44,985.26,0,0,0,0,0,0,0,"2,700,602,139","2,700,602,139","2,659,248,595",0,0,0.6,984.6872875,"16,203,600",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
66,2022-10-11,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,-5.3,992.62,-4.43,994.16,0,0,0,0,0,0,0,"2,700,601,251","2,700,601,251","2,680,681,531",0,0,0.6,992.6239685,"16,203,600",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
67,2022-10-11,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,-11.34,988.1,-11.19,989.51,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,964,299,553",0,50.78,3.01,988.099851,"89,855,323",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
68,2022-10-11,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,-12.57,987.02,-12.46,988.36,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,961,073,726",0,44.3,3.01,987.0245753,"89,677,881",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
69,2022-10-11,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,-13.74,985.77,-13.71,987.14,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,957,322,152",0,38.89,3.02,985.7740507,"90,126,928",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
