순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
73,2022-10-12,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,-5.78,961.39,-11.73,956,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","961,393,766,717",0,39.7,0.01,961.3937667,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
74,2022-10-12,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,-6.84,959.15,-12.36,954.14,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","959,152,742,645",0,34.68,0.01,959.1527426,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
75,2022-10-12,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,-7.88,957.06,-12.93,952.46,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","957,062,807,643",0,29.99,0.01,957.0628076,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
76,2022-10-12,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,-8.72,955.39,-13.38,951.14,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","955,392,905,164",0,26.23,0.01,955.3929052,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
77,2022-10-12,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,-9.32,954.17,-13.72,950.15,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","954,167,847,920",0,23.49,0.01,954.1678479,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
78,2022-10-12,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,-1.92,970.41,-9.08,963.98,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","970,412,909,605",0,59.81,0.01,970.4129096,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
79,2022-10-12,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,-1.91,978.96,-6.4,974.86,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","978,955,481,533",0,60.99,0.01,978.9554815,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
80,2022-10-12,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,-10.2,960.21,-11.88,958.68,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","960,210,906,995",0,22.77,0.01,960.210907,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
81,2022-10-13,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,-0.91,965.87,6.06,966.73,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","965,868,169,979",0,51.58,0.01,965.86817,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
82,2022-10-13,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,-0.85,963.03,5.87,964.01,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","963,031,041,778",0,45.07,0.01,963.0310418,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
